Keyword,Definition,Chapter
Abstraction ," the process of extracting information that is essential, while ignoring what is not relevant, for the provision of a solution.",9
Decomposition , the process of breaking a complex problem into smaller parts.,9
Float,A data type that is consisted of a decimal point number (Python),9
Flowchart , a diagrammatic representation of an algorithm.,9
Pattern recognition ,the identification of parts of a problem that are similar and could use the same solution.,9
Perfective maintenance , the process of making improvements to the performance of a progra m.,9
Pointer ,Points to a location in the memory ,9
Stepwise refinement ," the practice of subdividing each part of a Larger problem into a series of smaller parts, and so on, as required.",9
Algorithm , an ordered set of steps to be followed in the completion of a task.,9
Structured English ," a method of showing the logical steps in an algorithm, using an agreed subset of straightforward English words for commands and mathematical operations.",9
Argument , the value passed to a procedure or function.,10
Data type ," a classification attributed to an item of data, which determines the types of value it can take and how it can be used.",10
Header (procedure or function) ," the first state ment in the definition of a procedure or function, which contains its name, any parameters passed to it, and, for a function, the type of the return value.",10
Identifier , a unique name applied to an item of data.,10
identifier table,"a table listing the variable identifier required for the solution, with explanations and data types.",10
In demand paging , a form of data swapp in g where pages of data are not copied from HDD/SSD into RAM until they are actually requ ired .,10
Normal test data , test data that should be accepted by a program.,10
Relationship,"A relationship, in the context of databases, is a situation that exists between two relational database tables when one table has a foreign key that references the primary key of the other table. Relationships allow relational databases to split and store data in different tables, while linking disparate data items.",10
state transition diagram,A graphical representation of a finite state machine,10
Array , a data structure containing several elements of the same data type.,10
Hash Table,"Hash Table is a data structure which stores data in an associative manner. In a hash table, data is stored in an array format, where each data value has its own unique index value. Access of data becomes very fast if we know the index of the desired data.",10
Index (array) , a numerical indicator of an item of data's position in an array .,10
Linear search , a method of searching in which each element of an array is checked in order.,10
Back up utility,software that makes copies of files on another portable storage device.,10
Binary file , a file that does not contain text only; the file is machine,10
Close ,file-processing operation; closes a file so it can no longer be used by a program.,10
Header,"The beginning of a WAV (RIFF) file, used to provide specifications on the file type.",10
Pieces , splitting up of a file when using peer,10
Sequential access , a method of file access in which records are searched one after another from the physical start of the file until the required record is found.,10
